Site,Transmitter Easting,Transmitter northing,Capacite_theorique,Capacite_th,Site_Population,Population/Capacity
29037_001,114154.0,2340419.0,> 240 Mbps,240,4860,20.25
29037_002,116537.0,2339600.0,> 450 Mbps,450,1318,2.928888888888889
29039_001,132691.03,2338891.96,> 240 Mbps,240,11285,47.020833333333336
29039_006,134770.98,2344303.91,> 450 Mbps,450,870,1.9333333333333331
29039_008,132224.0,2343290.0,> 240 Mbps,240,386,1.6083333333333334
29039_010,133330.0,2341160.0,> 240 Mbps,240,1565,6.520833333333333
29040_002,73147.35,2396675.07,> 450 Mbps,450,2067,4.593333333333334
29041_001,141340.0,2358990.0,> 240 Mbps,240,3441,14.3375
29042_004,93189.0,2382966.0,> 450 Mbps,450,5486,12.19111111111111
29042_008,91112.1,2380808.72,> 450 Mbps,450,1401,3.1133333333333333
29044_002,120080.35,2375337.95,> 450 Mbps,450,3683,8.184444444444445
29046_001,102095.57,2363764.44,> 240 Mbps,240,13412,55.88333333333333
29049_001,136737.17,2350773.37,> 450 Mbps,450,2570,5.711111111111111
29051_003,126310.0,2353700.0,> 240 Mbps,240,2781,11.5875
29051_004,124005.0,2353420.0,> 450 Mbps,450,2638,5.862222222222222
29056_002,107588.78,2402211.71,> 450 Mbps,450,2119,4.708888888888889
29057_002,130034.0,2342600.0,> 450 Mbps,450,2971,6.602222222222222
29058_002,125750.0,2337420.0,> 450 Mbps,450,2864,6.364444444444445
29058_003,124790.0,2340427.0,> 450 Mbps,450,5107,11.348888888888888
29060_001,120801.0,2344655.96,> 450 Mbps,450,2081,4.624444444444444
29061_001,97698.02,2402969.98,> 1 Gbps,1000,1408,1.408
29061_002,96465.03,2406084.97,> 1 Gbps,1000,3335,3.335
29066_002,112650.01,2359050.0,> 450 Mbps,450,1311,2.9133333333333336
29067_001,161833.83,2407618.34,> 240 Mbps,240,1211,5.045833333333333
29069_001,90434.96,2403306.67,> 240 Mbps,240,4373,18.22083333333333
29071_001,170662.45,2342645.72,> 450 Mbps,450,923,2.051111111111111
29075_003,102863.04,2401596.05,> 450 Mbps,450,5580,12.4
29078_001,115847.01,2387723.98,> 450 Mbps,450,1909,4.242222222222222
29080_001,113816.71,2390312.9,> 450 Mbps,450,1465,3.2555555555555555
29086_001,112607.96,2394218.98,> 450 Mbps,450,2687,5.971111111111111
29091_001,106310.04,2427117.82,> 240 Mbps,240,3770,15.708333333333334
29097_002,127410.0,2407471.0,> 450 Mbps,450,3203,7.1177777777777775
29101_001,91115.92,2421145.31,> 240 Mbps,240,3311,13.795833333333333
29102_002,151509.29,2377595.51,> 450 Mbps,450,2167,4.815555555555555
29103_001,112375.97,2404964.03,> 240 Mbps,240,7491,31.2125
29103_002,114193.0,2403138.0,> 240 Mbps,240,4434,18.475
29105_001,128379.29,2410059.97,> 450 Mbps,450,2535,5.633333333333334
29105_003,126420.0,2409995.0,> 450 Mbps,450,2572,5.715555555555556
29113_001,153725.08,2421856.48,> 450 Mbps,450,5170,11.488888888888887
29117_001,95423.15,2418950.08,> 450 Mbps,450,3380,7.511111111111111
29124_003,108780.0,2418648.0,> 240 Mbps,240,7641,31.8375
29130_001,83410.0,2396440.0,> 240 Mbps,240,3878,16.158333333333335
29135_001,113209.0,2334294.96,> 450 Mbps,450,3490,7.7555555555555555
29137_001,109280.0,2390750.0,> 240 Mbps,240,2010,8.375
29140_002,108220.0,2397780.0,> 450 Mbps,450,2098,4.662222222222222
29146_002,141651.03,2339392.46,> 450 Mbps,450,729,1.62
29146_004,137725.0,2340925.0,> 240 Mbps,240,1241,5.170833333333333
29149_003,90614.12,2407975.13,> 450 Mbps,450,1476,3.28
29150_001,150037.3,2328745.38,> 450 Mbps,450,3791,8.424444444444445
29151_001,145542.77,2415692.18,> 450 Mbps,450,7458,16.573333333333334
29151_004,146430.0,2416880.0,> 240 Mbps,240,1374,5.725
29153_001,141320.0,2331700.0,> 450 Mbps,450,2096,4.657777777777778
29158_009,102940.0,2334040.0,> 240 Mbps,240,5205,21.6875
29160_004,100971.02,2410963.0,> 450 Mbps,450,4602,10.226666666666668
29161_001,122460.12,2343003.86,> 240 Mbps,240,2350,9.791666666666666
29162_001,132879.0,2377335.0,> 450 Mbps,450,2760,6.133333333333334
29163_001,141092.26,2408324.55,> 450 Mbps,450,1822,4.0488888888888885
29165_001,108970.0,2332225.0,> 240 Mbps,240,3512,14.633333333333333
29167_001,104330.0,2350160.0,> 240 Mbps,240,661,2.754166666666667
29167_003,106851.11,2352949.79,> 450 Mbps,450,1081,2.402222222222222
29168_001,78770.0,2360350.0,> 240 Mbps,240,2507,10.445833333333333
29169_001,114236.06,2363639.53,> 450 Mbps,450,1215,2.7
29170_001,116505.0,2349660.0,> 240 Mbps,240,1565,6.520833333333333
29173_001,110645.04,2356221.66,> 450 Mbps,450,1706,3.7911111111111113
29174_002,104975.0,2345120.0,> 450 Mbps,450,2045,4.544444444444444
29174_003,106649.0,2342857.0,> 450 Mbps,450,5230,11.622222222222222
29175_001,143157.0,2378751.0,> 450 Mbps,450,1833,4.073333333333333
29176_002,112544.0,2368204.0,> 450 Mbps,450,3763,8.362222222222222
29177_001,77360.26,2407028.55,> 450 Mbps,450,3734,8.297777777777778
29178_001,83702.12,2415200.66,> 240 Mbps,240,2866,11.941666666666666
29178_002,81594.19,2418306.24,> 240 Mbps,240,3136,13.066666666666666
29179_001,110093.0,2413488.0,> 240 Mbps,240,1655,6.895833333333333
29179_002,105963.0,2414110.0,> 240 Mbps,240,1920,8.0
29181_001,112786.02,2407630.01,> 14 Mbps,14,3421,244.3571428571429
29183_001,161724.61,2412132.55,> 240 Mbps,240,805,3.3541666666666665
29184_001,133913.04,2422622.05,> 450 Mbps,450,3150,7.0
29185_001,119814.18,2426950.52,> 450 Mbps,450,2634,5.8533333333333335
29189_004,99230.72,2394614.45,> 450 Mbps,450,2012,4.471111111111111
29189_005,104483.0,2395767.0,> 240 Mbps,240,4091,17.045833333333334
29189_007,103065.4,2397203.1,> 1 Gbps,1000,2854,2.854
29190_001,77347.85,2395892.37,> 450 Mbps,450,3563,7.917777777777777
29191_001,152890.51,2409165.18,> 450 Mbps,450,2406,5.346666666666667
29195_002,96590.01,2422780.0,> 240 Mbps,240,3302,13.758333333333333
29196_001,87669.66,2414454.76,> 240 Mbps,240,1599,6.6625
29197_002,88933.25,2357956.88,> 240 Mbps,240,6329,26.370833333333334
29197_003,92153.3,2359101.46,> 450 Mbps,450,2804,6.231111111111111
29198_001,111600.0,2421100.0,> 240 Mbps,240,1746,7.275
29199_002,156715.63,2414141.89,> 450 Mbps,450,1403,3.117777777777778
29199_003,149840.0,2415418.0,> 450 Mbps,450,1876,4.168888888888889
29201_001,78402.0,2402154.0,> 240 Mbps,240,1387,5.779166666666667
29202_001,139460.84,2397637.1,> 450 Mbps,450,2029,4.5088888888888885
29206_001,117033.0,2422554.0,> 240 Mbps,240,2214,9.225
29207_002,145773.37,2413659.51,> 450 Mbps,450,2164,4.808888888888889
29207_005,148355.68,2410422.06,> 450 Mbps,450,1765,3.922222222222222
29209_001,97989.62,2414199.38,> 450 Mbps,450,2181,4.846666666666667
29210_001,129136.0,2416819.01,> 450 Mbps,450,2869,6.375555555555556
29211_001,149195.0,2389611.0,> 240 Mbps,240,2000,8.333333333333334
29212_004,86615.0,2399335.0,> 450 Mbps,450,2541,5.6466666666666665
29212_005,88493.0,2397945.0,> 450 Mbps,450,3713,8.251111111111111
29213_001,124325.66,2419789.01,> 240 Mbps,240,2969,12.370833333333334
29215_001,95200.0,2353980.0,> 240 Mbps,240,2489,10.370833333333334
29215_002,102669.56,2354376.44,> 240 Mbps,240,1624,6.766666666666667
29216_003,113100.0,2351870.0,> 450 Mbps,450,1710,3.8
29216_004,113438.46,2347557.59,> 450 Mbps,450,2074,4.608888888888889
29217_001,145233.05,2335334.76,> 450 Mbps,450,3492,7.76
29221_001,77686.0,2411155.0,> 450 Mbps,450,1794,3.986666666666667
29221_003,76725.18,2413010.96,> 450 Mbps,450,2064,4.586666666666667
29225_001,100516.05,2351223.74,> 450 Mbps,450,1861,4.135555555555555
29227_001,157516.07,2387959.47,> 450 Mbps,450,1901,4.224444444444444
29229_001,118500.0,2366505.0,> 240 Mbps,240,1560,6.5
29230_002,162109.59,2345463.97,> 450 Mbps,450,1352,3.0044444444444443
29232_003,121333.51,2355014.15,> 450 Mbps,450,2799,6.22
29232_011,121646.82,2350153.8,> 14 Mbps,14,2651,189.3571428571429
29232_014,118109.0,2351672.0,> 450 Mbps,450,11182,24.84888888888889
29232_016,120667.0,2351680.0,> 450 Mbps,450,7991,17.75777777777778
29232_026,122835.39,2357321.07,> 450 Mbps,450,1000,2.2222222222222223
29232_028,121718.0,2352651.0,> 240 Mbps,240,4186,17.441666666666666
29232_033,117645.0,2352890.0,> 240 Mbps,240,8040,33.5
29232_039,125105.19,2350732.37,> 450 Mbps,450,1824,4.053333333333334
29232_048,117973.11,2356325.51,> 450 Mbps,450,3530,7.844444444444444
29233_001,159858.06,2334682.66,> 450 Mbps,450,2681,5.957777777777777
29233_002,160299.01,2335270.0,> 450 Mbps,450,4774,10.608888888888888
29234_001,165674.99,2334382.97,> 450 Mbps,450,935,2.077777777777778
29234_003,163267.94,2332149.19,> 450 Mbps,450,954,2.12
29236_002,153277.17,2336667.95,> 240 Mbps,240,2571,10.7125
29239_001,136206.06,2432291.71,> 450 Mbps,450,3230,7.177777777777778
29241_002,143960.0,2346970.0,> 240 Mbps,240,3511,14.629166666666666
29247_001,127550.0,2349320.0,> 240 Mbps,240,555,2.3125
29247_004,125543.92,2346133.09,> 450 Mbps,450,1923,4.273333333333333
29252_001,104819.24,2337911.32,> 450 Mbps,450,2515,5.588888888888889
29254_001,143670.0,2413840.0,> 450 Mbps,450,1874,4.164444444444444
29254_003,143390.99,2416229.25,> 450 Mbps,450,4010,8.911111111111111
29257_001,87864.62,2418514.77,> 240 Mbps,240,2200,9.166666666666666
29259_003,134947.01,2426513.0,> 240 Mbps,240,5836,24.316666666666663
29259_004,133398.0,2429200.0,> 450 Mbps,450,3297,7.326666666666667
29260_002,86462.73,2405438.28,> 450 Mbps,450,5189,11.53111111111111
29266_001,136946.0,2410363.0,> 240 Mbps,240,2415,10.0625
29267_002,135408.98,2366719.42,> 450 Mbps,450,1205,2.6777777777777776
29268_001,107437.98,2406563.29,> 450 Mbps,450,2234,4.964444444444444
29272_001,131309.01,2347970.0,> 240 Mbps,240,1425,5.9375
29274_001,150112.05,2351067.15,> 450 Mbps,450,2855,6.344444444444444
29277_001,124982.03,2397246.98,> 240 Mbps,240,1441,6.004166666666666
29277_003,130034.63,2403527.01,> 450 Mbps,450,1688,3.7511111111111113
29277_004,126740.04,2399929.9,> 450 Mbps,450,1139,2.531111111111111
29279_002,140620.0,2419918.0,> 450 Mbps,450,3600,8.0
29280_001,103975.0,2379840.0,> 240 Mbps,240,3411,14.2125
29284_001,105656.97,2332633.96,> 450 Mbps,450,4869,10.82
29293_002,139038.0,2335598.0,> 240 Mbps,240,868,3.6166666666666663
29293_003,137680.0,2329800.0,> 450 Mbps,450,1258,2.795555555555556
29293_004,136142.37,2335977.77,> 1 Gbps,1000,4733,4.733
29297_001,162546.0,2338266.0,> 450 Mbps,450,3398,7.551111111111111
29302_001,123952.24,2381375.1,> 450 Mbps,450,2376,5.28
29302_002,118879.32,2383869.31,> 450 Mbps,450,1674,3.72
29302_003,121721.0,2381434.0,> 450 Mbps,450,509,1.1311111111111112
35001_002,313290.0,2355790.0,> 240 Mbps,240,2926,12.191666666666666
35001_003,310250.0,2355090.0,> 450 Mbps,450,1676,3.724444444444445
35004_001,317551.0,2391007.0,> 450 Mbps,450,2920,6.488888888888889
35006_001,338861.0,2345293.0,> 450 Mbps,450,2368,5.262222222222222
35012_003,301624.0,2318433.0,> 450 Mbps,450,2099,4.664444444444444
35012_004,296420.0,2324950.0,> 450 Mbps,450,1000,2.2222222222222223
35012_005,300686.0,2323304.0,> 240 Mbps,240,3874,16.141666666666666
35013_001,270163.0,2309726.0,> 240 Mbps,240,2807,11.695833333333333
35014_001,328524.0,2340810.0,> 450 Mbps,450,1478,3.2844444444444445
35015_002,337260.0,2359380.0,> 240 Mbps,240,1923,8.0125
35016_002,280000.0,2341656.0,> 450 Mbps,450,808,1.7955555555555556
35023_001,282050.0,2362425.0,> 240 Mbps,240,3713,15.470833333333331
35029_001,296775.0,2392790.0,> 240 Mbps,240,866,3.608333333333333
35031_001,319760.0,2359950.0,> 240 Mbps,240,2608,10.866666666666667
35032_001,302642.0,2339721.0,> 450 Mbps,450,2968,6.595555555555555
35037_002,286680.0,2346570.0,> 450 Mbps,450,2835,6.3
35038_001,347823.0,2348353.0,> 240 Mbps,240,6617,27.570833333333333
35040_001,285332.0,2358382.0,> 450 Mbps,450,2372,5.271111111111111
35042_001,343595.0,2340772.0,> 240 Mbps,240,527,2.1958333333333333
35047_001,297078.0,2345620.0,> 450 Mbps,450,5884,13.075555555555557
35047_004,296872.0,2347379.0,> 240 Mbps,240,1225,5.104166666666667
35049_001,290812.0,2418215.0,> 450 Mbps,450,4462,9.915555555555557
