Site,Transmitter Easting,Transmitter northing,nom_reg,nom_dep,insee_dep,nom_com,insee_com,700MHz,800MHz,900MHz,1800MHz,2100MHz,2600MHz,3500MHz,Capacite_theorique,Capacite_th,Site_Population,Population/Capacity
22186_002,243230.21,2409981.58,BRETAGNE,COTES D ARMOR,22,PLENEUF VAL ANDRE,22186,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1641,3.64666666666667
22187_001,223240.81,2404196.58,BRETAGNE,COTES D ARMOR,22,PLERIN,22187,4G/5G,,3G,4G,3G,4G,5G,> 1 Gbps,1000,12245,12.245
22187_002,221208.12,2406775.02,BRETAGNE,COTES D ARMOR,22,PLERIN,22187,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2300,5.11111111111111
22187_005,224051.78,2405443.24,BRETAGNE,COTES D ARMOR,22,PLERIN,22187,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,3119,12.9958333333333
22189_001,197770,2400180,BRETAGNE,COTES D ARMOR,22,PLESIDY,22189,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1079,4.49583333333333
22190_004,225986,2405546,BRETAGNE,COTES D ARMOR,22,PLERIN,22187,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,4644,10.32
22191_001,235257.22,2380673.12,BRETAGNE,COTES D ARMOR,22,MENE,22046,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1081,4.50416666666667
22193_001,246950,2390610,BRETAGNE,COTES D ARMOR,22,PLESTAN,22193,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1366,5.69166666666667
22194_001,161137.79,2422576.34,BRETAGNE,COTES D ARMOR,22,PLESTIN LES GREVES,22194,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,4913,10.9177777777778
22197_003,283174,2398847,BRETAGNE,COTES D ARMOR,22,PLEUDIHEN SUR RANCE,22197,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,3101,12.9208333333333
22198_001,169714.29,2435411.92,BRETAGNE,COTES D ARMOR,22,PLEUMEUR BODOU,22198,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1124,2.49777777777778
22203_001,223038.98,2384820.03,BRETAGNE,COTES D ARMOR,22,PLOEUC L HERMITAGE,22203,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1822,7.59166666666667
22207_001,170350,2417245,BRETAGNE,COTES D ARMOR,22,PLOUARET,22207,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1994,4.43111111111111
22207_002,170245.54,2420471.02,BRETAGNE,COTES D ARMOR,22,PLOUARET,22207,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,982,2.18222222222222
22210_001,204577.33,2435919.43,BRETAGNE,COTES D ARMOR,22,PLOUBAZLANEC,22210,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,6588,14.64
22211_001,175720,2427360,BRETAGNE,COTES D ARMOR,22,PLOUBEZRE,22211,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1803,4.00666666666667
22213_002,278145,2401640,BRETAGNE,COTES D ARMOR,22,PLOUER SUR RANCE,22213,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,4110,9.13333333333333
22215_002,222959.67,2401124.96,BRETAGNE,COTES D ARMOR,22,PLOUFRAGAN,22215,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,4734,19.725
22215_003,220433.42,2400888.49,BRETAGNE,COTES D ARMOR,22,PLOUFRAGAN,22215,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,4571,10.1577777777778
22215_006,220315.5,2398052.42,BRETAGNE,COTES D ARMOR,22,PLOUFRAGAN,22215,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1295,5.39583333333333
22215_007,222170,2401700,BRETAGNE,COTES D ARMOR,22,PLOUFRAGAN,22215,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,2665,11.1041666666667
22219_001,225970.95,2377547.94,BRETAGNE,COTES D ARMOR,22,PLOUGUENAST LANGAST,22219,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1073,2.38444444444444
22220_001,185268.87,2375473.81,BRETAGNE,COTES D ARMOR,22,PLOUGUERNEVEL,22220,4G,,3G,4G,3G,4G,0,> 240 Mbps,240,1379,5.74583333333333
22221_001,190729.65,2436917.57,BRETAGNE,COTES D ARMOR,22,PLOUGUIEL,22221,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2939,6.53111111111111
22223_001,192440,2410431.99,BRETAGNE,COTES D ARMOR,22,PLOUISY,22223,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,2637,5.86
22223_003,196327,2413739.41,BRETAGNE,COTES D ARMOR,22,PABU,22161,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,962,2.13777777777778
22226_001,168210,2426545,BRETAGNE,COTES D ARMOR,22,PLOUMILLIAU,22226,4G/5G,,3G,4G,3G,4G,0,> 450 Mbps,450,1861,4.13555555555556
