fid,INSEE_COM,NOM_COM,IRIS,CODE_IRIS,NOM_IRIS,TYP_IRIS,mapped,pop_cov,area_cov
1737,56233,Saint-Philibert,0,562330000,Saint-Philibert,Z,1736,0.5143,0.4566
1738,56234,Saint-Pierre-Quiberon,0,562340000,Saint-Pierre-Quiberon,Z,1737,0.4646,0.4561
1739,56236,Saint-Servant,0,562360000,Saint-Servant,Z,1738,0.5357,0.5783
1740,56237,Saint-Thuriau,0,562370000,Saint-Thuriau,Z,1739,0.6928,0.6866
1741,56238,Saint-Tugdual,0,562380000,Saint-Tugdual,Z,1740,0.1226,0.1806
1742,56239,Saint-Vincent-sur-Oust,0,562390000,Saint-Vincent-sur-Oust,Z,1741,0.132,0.143
1743,56240,Sarzeau,101,562400101,Golfe-Nord,H,1742,0.7123,0.6726
1744,56240,Sarzeau,102,562400102,Campagne-Atlantique,H,1743,0.5671,0.5283
1745,56241,Sauzon,0,562410000,Sauzon,Z,1744,0.7562,0.8636
1746,56242,Séglien,0,562420000,Séglien,Z,1745,0.1556,0.1744
1747,56243,Séné,103,562430103,Presqu'Ile et Villages,H,1746,0.6999,0.6891
1748,56243,Séné,102,562430102,Poulfranc et Marais,H,1747,0.9967,0.9946
1749,56243,Séné,101,562430101,Centre Bourg,H,1748,0.9341,0.9257
1750,56244,Sérent,0,562440000,Sérent,Z,1749,0.8656,0.8069
1751,56245,Silfiac,0,562450000,Silfiac,Z,1750,0.0068,0.0068
1752,56246,Le Sourn,0,562460000,Le Sourn,Z,1751,0.8808,0.8935
1753,56247,Sulniac,0,562470000,Sulniac,Z,1752,0.7177,0.7312
1754,56248,Surzur,0,562480000,Surzur,Z,1753,0.9261,0.9376
1755,56249,Taupont,0,562490000,Taupont,Z,1754,0.5653,0.5027
1756,56250,Théhillac,0,562500000,Théhillac,Z,1755,0.8776,0.8537
1757,56251,Theix,101,562510101,Centre Ville,H,1756,0.6778,0.6914
1758,56251,Theix,102,562510102,Villages,H,1757,0.8431,0.8417
1759,56252,Le Tour-du-Parc,0,562520000,Le Tour-du-Parc,Z,1758,0.4241,0.482
1760,56253,Tréal,0,562530000,Tréal,Z,1759,0.7482,0.7357
1761,56254,Trédion,0,562540000,Trédion,Z,1760,0.0209,0.013
1762,56255,Treffléan,0,562550000,Treffléan,Z,1761,0.2474,0.1966
1763,56256,Tréhorenteuc,0,562560000,Tréhorenteuc,Z,1762,0,0
1764,56257,La Trinité-Porhoët,0,562570000,La Trinité-Porhoët,Z,1763,0.8746,0.8569
1765,56258,La Trinité-sur-Mer,0,562580000,La Trinité-sur-Mer,Z,1764,0.8123,0.8179
1766,56259,La Trinité-Surzur,0,562590000,La Trinité-Surzur,Z,1765,1,1
1767,56260,Vannes,121,562600121,Kercado 1,H,1766,1,1
1768,56260,Vannes,126,562600126,Rive gauche du port,H,1767,0.9958,0.9907
1769,56260,Vannes,118,562600118,Intra Muros,H,1768,0.7601,0.7541
1770,56260,Vannes,123,562600123,Cliscouët,H,1769,1,1
1771,56260,Vannes,129,562600129,Pointe de Rosvellec,D,1770,1,1
1772,56260,Vannes,112,562600112,Caserne-centre hospitalier,A,1771,1,1
1773,56260,Vannes,114,562600114,ZI du Prat,A,1772,1,1
1774,56260,Vannes,109,562600109,Rohan,H,1773,1,1
1775,56260,Vannes,113,562600113,Zone rurale Nord Est,D,1774,1,1
1776,56260,Vannes,110,562600110,Kerouer-Nord gare,H,1775,1,1
1777,56260,Vannes,105,562600105,Ménimur 2,H,1776,1,1
1778,56260,Vannes,127,562600127,Tohannic,H,1777,1,1
1779,56260,Vannes,101,562600101,Zone rurale nord ouest,D,1778,0.9737,0.988
1780,56260,Vannes,119,562600119,Est péri centre ville,H,1779,0.8843,0.8606
1781,56260,Vannes,108,562600108,Le Bondon,H,1780,1,1
1782,56260,Vannes,107,562600107,Le Pargo-La Mare-Bois de Vincin,H,1781,0.9948,0.9888
1783,56260,Vannes,124,562600124,Conleau,H,1782,0.9788,0.9682
1784,56260,Vannes,106,562600106,Zone d'activités de Kerlann,A,1783,1,1
1785,56260,Vannes,125,562600125,Trussac,H,1784,0.9987,0.9984
1786,56260,Vannes,104,562600104,St-Guen- Bilaire- Ménimur pavillonnaire,H,1785,1,1
1787,56260,Vannes,111,562600111,Grande murailles-Boismoreau,H,1786,1,1
1788,56260,Vannes,103,562600103,Ménimur 1,H,1787,1,1
1789,56260,Vannes,128,562600128,Parc des expos-Aquarium-Arcal,A,1788,1,1
1790,56260,Vannes,115,562600115,Beaupré-La Lande Le Hesqueno-Grasdor,H,1789,1,1
1791,56260,Vannes,120,562600120,Estuaire du vincin,D,1790,0.8395,0.8387
1792,56260,Vannes,102,562600102,Zone d'activités de Kerniol,A,1791,1,1
1793,56260,Vannes,116,562600116,Bernus- Kergypt- Keruzen- Campen,H,1792,0.9931,0.9935
1794,56260,Vannes,122,562600122,Kercado 2,H,1793,1,1
1795,56260,Vannes,117,562600117,Ouest péri centre ville,H,1794,0.7866,0.8308
1796,56261,La Vraie-Croix,0,562610000,La Vraie-Croix,Z,1795,0.8834,0.9035
1797,56262,Bono,0,562620000,Bono,Z,1796,0.4194,0.4478
1798,56263,Sainte-Anne-d'Auray,0,562630000,Sainte-Anne-d'Auray,Z,1797,0.9377,0.9427
1799,56264,Kernascléden,0,562640000,Kernascléden,Z,1798,0.1791,0.2481
