Site_name,Transmitter Easting,Transmitter northing,Transmitter height,abs_pop,abs_area
22052_001,170635.22,2390516.62,36.5,1321,90.895
29071_001,170662.45,2342645.72,26.1,499,25.6225
56179_001,170701.54,2331780.7,31,2201,21.9425
56107_001,170918.87,2317819.59,25.5,6247,49.3475
56121_011,171040,2322830.95,44,7486,7.805
56121_016,171600.02,2319869.01,37.2,3639,2.1475
22228_002,172020,2411170,34.5,648,41.425
56121_002,172269.01,2320211.04,31,4149,0.7925
56121_001,172418.8,2321329.46,42,6048,2.155
22113_001,172607.42,2429959.14,38.7,5828,18.5225
56121_018,172816,2319386,33,2044,6.5525
56121_003,172972.99,2321612.02,38.9,5773,2.8575
22113_008,173118,2434911,23,843,13.1425
56121_015,173423.7,2320611.75,46.6,4653,6.0125
56098_001,173454.04,2322803.93,14.7,2656,1.66
22168_002,173514.87,2438606.68,36.24,4117,50.9525
22113_009,173805.96,2432505.39,17,2275,7.6625
56040_001,174025,2333393,50.5,1516,34.445
22113_010,174207.66,2430515.62,17,3409,1.7975
56036_001,174608.28,2326842.71,29.7,2486,22.145
56098_007,174940,2324210,37.4,2729,9.1925
56098_002,175004.98,2321801.05,22,6871,6.7075
56193_002,175190,2316950,30.5,6573,44.295
22228_001,175328,2409548,28.5,1158,27.095
22113_011,175332.17,2430768.16,28.3,2203,10.625
22211_001,175720,2427360,30.5,1692,25.6075
56210_002,176204.93,2353835.61,31.45,848,46.4675
56166_002,176913,2340408,39.8,2971,39.7025
56094_002,178617.71,2321662.09,34,1193,17.3475
22134_001,178799.17,2436487.71,24,2821,25.085
22359_002,178889,2416268,27,531,35.2525
22030_001,179176,2427410,28.15,1616,35.305
56083_002,180217,2326223,31.2,6891,11.8175
56089_001,180751,2346778,27.5,808,31.2425
22266_002,180857,2375109,28.9,2726,57.6075
56241_001,180861,2276259,26.5,700,47.11
56090_002,181190,2329360,31.8,4374,19.5275
56169_001,181205.49,2315445.33,31.1,1849,45.175
56083_001,181665.77,2325779.44,31,2179,13.0375
56094_001,181813.8,2321991.15,25,1581,11.6175
56163_003,181875.93,2359240.32,27.3,577,48.745
56104_001,181888,2336634,18.4,265,12.3075
22245_001,181953.08,2420874.94,47,1390,38.7725
22379_001,182140,2438680,21.9,1960,37.9825
22135_003,182478.67,2411359.14,41,1278,34.8025
56169_005,182867.68,2312034.71,27.35,2695,50.7175
56130_001,182993.02,2318160.05,25.5,1629,13.8725
22042_002,183263.13,2433879.27,31.35,1825,42.8775
22249_001,184020,2401893,21.8,587,52.46
56021_003,184438.5,2327502.34,27,881,14.7275
22004_002,184600,2418380,28,2965,46.1075
56152_003,185038,2274841,35,2065,112.7525
22220_001,185268.87,2375473.81,31.65,699,23.7
22166_001,185475,2438997,34.5,2373,74.78
56220_002,185768.39,2316989.94,31,1097,28.2375
56054_001,186899.24,2307575.37,22.5,1707,57.7625
56234_003,187726.01,2293337.99,13.8,1259,59.755
56113_001,188068,2356199,32.1,1334,48.4425
22164_001,188081.71,2412662.29,30.4,1059,28.3975
56101_003,188310,2329890,36.8,2371,29.555
56186_003,188977,2291252,23,1258,53.2225
56186_004,189211,2290263,22.85,5041,121.45
56013_003,189520.43,2311756.2,26.1,1028,24.9975
22088_001,189763.09,2393986.78,34,230,46.9775
56026_001,190131,2344472,35.5,899,26.4525
56114_002,190280,2269080,32.5,568,135.535
22247_001,190550,2430670,24,2163,49.63
22221_001,190729.65,2436917.57,31.7,2015,29.125
22013_001,191596.83,2399739.93,36.4,1213,44.685
22321_001,191832.97,2382939.45,25,1435,68.3825
22347_001,192252.02,2436159.03,18,1898,21.14
56096_001,192306,2319764,24.3,2194,24.2025
22223_001,192440,2410431.99,24.9,2073,24.305
56034_001,192483.07,2301683.69,23,3356,39.8775
56119_001,192583,2315012,21.8,802,14.1225
56161_001,195075,2308825,34,1124,17.745
22070_001,195147,2410831,27.6,6648,16.475
56258_001,195570,2302130,31.8,1099,21.3075
56076_003,195773.53,2351757.1,26,453,30.45
22256_001,196142.92,2425352.55,31,2227,41.36
22290_001,196222,2371792,45,596,35.9125
22223_003,196327,2413739.41,36.25,718,19.325
22161_001,196429.83,2410542.17,26.6,2363,8.9475
56023_001,196823,2313922,18.3,539,21.5425
56258_002,196900,2301280,7.9,1477,15.7
22248_001,197123.97,2416728.21,31.85,1019,26.0875
56041_001,197356.94,2361806.54,38.8,1338,41.215
56010_003,197570,2335535,39.5,1408,58.2325
56125_001,197705,2355790.01,21,689,20.8925
22189_001,197770,2400180,27.5,405,19.68
22272_002,197841,2408955,19,1732,19.2575
22283_001,198480.65,2422121.57,35.8,1374,49.1025
56010_001,198796.32,2332849.59,30,3036,21.14
56007_003,198883,2309930,17.5,1555,6.89
56076_005,199210,2349750,27.3,301,20.04
56041_002,199247.94,2358295.49,31,404,15.705
22127_001,199824.85,2435566.06,20.3,2209,44.595
56046_003,199900,2305025,31.4,1611,14.6075
56046_001,200250,2308000,38.5,1909,17.305
56007_002,200261.09,2310493.92,22.9,6632,8.36
56233_001,200439,2302076,34,1249,41.735
56177_002,200460,2321750,34,3347,44.4325
22033_002,200890,2371810,38,466,27.97
22047_001,201095,2381260,32,1406,74.6175
56031_001,201151.27,2328881.9,31.7,1155,15.44
56007_004,201250,2310410,15.3,1341,3.7425
56246_004,202042.13,2351470.44,26,1516,29.29
56176_002,202461.2,2310095.01,26.1,1991,6.27
56176_001,203396,2312385,23.65,1961,14.695
56173_001,203468,2342474.95,29.8,1852,44.8625
22158_001,203622.05,2370419.02,36.65,592,14.94
56178_002,204120.2,2354058.81,27.3,8993,35.17
22304_001,204177.1,2408170.91,23.3,1001,35.9825
56146_001,204275.14,2361936.57,27,994,47
22210_001,204577.33,2435919.43,29.5,3017,76.33
22162_001,204900.35,2431375.12,26.5,5400,46.49
56074_001,205350.01,2335295,34.3,922,44.165
56175_001,206240,2317380,24.5,1090,37.1675
56008_001,206319,2304564,33,3310,38.62
22158_002,206422.37,2368337.41,26,1349,54.3475
56167_001,207078.36,2309321.8,23,1683,20.1075
22121_001,207803,2418012,27.25,2440,47.175
22182_001,209018.98,2406523,20.1,2600,51.6375
56141_002,209222.42,2326451.23,34.95,577,27.975
56164_002,209314.22,2308985.85,30.5,1886,13.05
56174_002,209448.4,2330624.73,31.3,881,26.7925
56214_002,210544.01,2292440,31.8,1584,83.405
56213_001,210600,2358590,23,784,38.025
56164_001,211003,2307327.82,36.5,1709,20.385
22277_003,211550.84,2390244.12,48.8,3198,42.3725
56151_003,211850,2354050,27,1833,51.4275
22287_001,212320,2398279,31.05,1409,48.555
56003_003,212333,2304476,22.4,2974,25.22
56158_001,213431.48,2313008.91,27,3048,25.2275
56067_001,213529.68,2318736.02,39,2512,60.7625
22117_001,213540.36,2412329.85,21.8,1205,29.3275
56117_001,213657.87,2332718.98,25.35,3304,12.3825
56144_001,214294,2345524,27.5,1334,70.2525
56240_008,214620,2292625,27.5,2501,54.6975
22277_004,214700,2388410,35.6,928,26.43
56260_019,214749.08,2308861.17,25.8,2008,8.6525
