did,oid,eid,sid,ent,count,count_D,flow,flow_D,input_count,input_count_D,input_flow,input_flow_D,speed,speed_D,spdh,spdh_D,ttime,ttime_D,dtime,dtime_D,wtimeVQ,wtimeVQ_D,dwelltime,dwelltime_D,travel,travel_D,traveltime,traveltime_D,qvmean,qvmean_D,qvmax,qvmax_D,stime,stime_D,nstops,nstops_D,fuelc,fuelc_D
432009,431457,T2C11821953316814915_StopPoint:T2C3377704015496221*StopPoint:T2C3377704015495624*StopPoint:T2C3377704015495803*StopPoint:T2C3377704015496100*StopPoint:T2C3377704015495675*StopPoint:T2C3377704015495383*StopPoint:T2C3377704015495283*StopPoint:T2C3377704015495632*StopPoint:T2C3377704015495206*StopPoint:T2C3377704015495733*StopPoint:T2C3377704015495249*StopPoint:T2C3377704015495599*StopPoint:T2C3377704015495326*StopPoint:T2C3377837159481565*StopPoint:T2C3377704015496074*StopPoint:T2C3377704015496281*StopPoint:T2C3377704015495774*StopPoint:T2C3377704015495879*StopPoint:T2C3377704015496178*StopPoint:T2C3377704015495900*StopPoint:T2C3377704015495970*StopPoint:T2C3377704015495947*StopPoint:T2C3377704015495824*StopPoint:T2C3377704015495976*StopPoint:T2C3377704015495588*StopPoint:T2C3377704015496057*StopPoint:T2C3377704015496036*StopPoint:T2C3377837159481515*StopPoint:T2C3377704015495894*StopPoint:T2C3377704015495514*StopPoint:T2C3377704015495653*StopPoint:T2C3377704015495745*StopPoint:T2C3377704015495204*StopPoint:T2C3377704015495690*StopPoint:T2C3377704015495550*StopPoint:T2C3377704015495756*StopPoint:T2C3377704015495810*StopPoint:T2C3377704015495614*StopPoint:T2C3377704015495896*StopPoint:T2C3377704015495237*StopPoint:T2C3377704015496277*StopPoint:T2C3377837159481466*StopPoint:T2C3377704015495467*StopPoint:T2C3377837159481572,0,0,3,-1,3,-1,4,-1,4,-1,45.43065041,3.356752951,45.27202129,2.679824816,1389.693107,98.50977541,75.55359681,6.452845886,0,0,0,0,52.42851325,-1,4169.07932,-1,0,-1,0,-1,0,0,0,-1,0,-1
432009,431259,T2C11821953316814886_StopPoint:T2C3377704015495788*StopPoint:T2C3377704015495498*StopPoint:T2C3377704015495939*StopPoint:T2C3377704015495389*StopPoint:T2C3377704015495845*StopPoint:T2C3377704015495656*StopPoint:T2C3377704015495702*StopPoint:T2C3377704015495682*StopPoint:T2C3377704015495863*StopPoint:T2C3377704015495764*StopPoint:T2C3377704015495648*StopPoint:T2C3377837159481350*StopPoint:T2C3377704015496133*StopPoint:T2C3377704015495308*StopPoint:T2C3377704015495202*StopPoint:T2C3377704015496135*StopPoint:T2C3377704015495752*StopPoint:T2C3377704015495705*StopPoint:T2C3377704015495535*StopPoint:T2C3377704015495662*StopPoint:T2C3377704015495591*StopPoint:T2C3377704015495225*StopPoint:T2C3377704015495534,0,0,2,-1,2,-1,2,-1,2,-1,47.78622727,2.048058836,47.74233864,1.4475311,849.2564737,36.39808632,25.10483668,8.325416266,0,0,0,0,22.52527231,-1,1698.512947,-1,0,-1,0,-1,0,0,0,-1,0,-1
432009,431271,T2C11821953316814914_StopPoint:T2C3377704015497133*StopPoint:T2C3377704015497116*StopPoint:T2C3377837159481361*StopPoint:T2C3377704015497112*StopPoint:T2C3377704015497122*StopPoint:T2C3377704015497119*StopPoint:T2C3377704015497135*StopPoint:T2C3377704015497127*StopPoint:T2C3377837159482433*StopPoint:T2C3377704015497130,0,0,2,-1,2,-1,2,-1,2,-1,40.25881581,2.442748731,40.18470755,1.725693672,470.9413243,28.57489221,21.03449879,3.825513757,0,0,79.2,11.3137085,10.51368855,-1,941.8826485,-1,0,-1,0,-1,0,0,2,-1,0,-1
432009,431307,T2C11822086460801028_StopPoint:T2C3377704015495824*StopPoint:T2C3377704015495976*StopPoint:T2C3377704015495588*StopPoint:T2C3377704015496057*StopPoint:T2C3377837159481488*StopPoint:T2C3377704015496031*StopPoint:T2C3377704015495215*StopPoint:T2C3377837159481490,0,0,2,-1,2,-1,2,-1,2,-1,46.73714512,4.244750913,46.54438719,2.995296235,313.1491995,28.44076905,14.59682315,2.51262871,0,0,0,0,8.097409772,-1,626.298399,-1,0,-1,0,-1,0,0,0,-1,0,-1
432009,431336,T2C11821953316814876_StopPoint:T2C3377704015496382*StopPoint:T2C3377704015496150*StopPoint:T2C3377704015495602*StopPoint:T2C3377704015495860*StopPoint:T2C3377704015495766*StopPoint:T2C3377704015495941*StopPoint:T2C3377704015496106*StopPoint:T2C3377704015495884*StopPoint:T2C3377704015496103*StopPoint:T2C3377704015496050*StopPoint:T2C3377704015496167*StopPoint:T2C3377704015496043*StopPoint:T2C3377704015495325*StopPoint:T2C3377704015495598*StopPoint:T2C3377704015495246*StopPoint:T2C3377704015495783*StopPoint:T2C3377704015495837*StopPoint:T2C3377704015496173*StopPoint:T2C3377704015495711*StopPoint:T2C3377704015496286*StopPoint:T2C3377704015495437*StopPoint:T2C3377704015495643*StopPoint:T2C3377704015495471*StopPoint:T2C3377704015496171*StopPoint:T2C3377704015495265*StopPoint:T2C3377704015495870*StopPoint:T2C3377704015495950*StopPoint:T2C3377704015495967*StopPoint:T2C3377704015495407*StopPoint:T2C3377837159481536*StopPoint:T2C3377704015496222*StopPoint:T2C3377704015496278*StopPoint:T2C3377704015496288*StopPoint:T2C3377704015495404*StopPoint:T2C3377704015495469*StopPoint:T2C3377704015495952*StopPoint:T2C3377704015495701,0,0,2,-1,2,-1,2,-1,2,-1,47.26336095,0.969612268,47.25341511,0.685547267,905.0686997,18.56756898,35.5335084,4.671814561,0,0,0,0,23.75977054,-1,1810.137399,-1,0,-1,0,-1,0,0,0,-1,0,-1
432009,431353,T2C11821953316814875_StopPoint:T2C3377704015495531*StopPoint:T2C3377704015495888*StopPoint:T2C3377704015495246*StopPoint:T2C3377704015495783*StopPoint:T2C3377704015496101*StopPoint:T2C3377704015495546*StopPoint:T2C3377704015495804*StopPoint:T2C3377704015496071*StopPoint:T2C3377704015495509*StopPoint:T2C3377704015495273*StopPoint:T2C3377704015496119*StopPoint:T2C3377704015496064*StopPoint:T2C3377704015495619*StopPoint:T2C3377704015495961*StopPoint:T2C3377704015496144*StopPoint:T2C3377704015496235*StopPoint:T2C3377704015495284*StopPoint:T2C3377704015496142*StopPoint:T2C3377704015495866*StopPoint:T2C3377704015495335*StopPoint:T2C3377704015495271*StopPoint:T2C3377704015496000*StopPoint:T2C3377704015496205*StopPoint:T2C3377704015495497*StopPoint:T2C3377704015495665*StopPoint:T2C3377704015496187*StopPoint:T2C3377704015495287*StopPoint:T2C3377704015496070*StopPoint:T2C3377704015496004*StopPoint:T2C3377704015495228*StopPoint:T2C3377704015495743*StopPoint:T2C3377704015496208*StopPoint:T2C3377704015496182*StopPoint:T2C3377704015496097,0,0,2,-1,2,-1,2,-1,2,-1,48.81536945,3.323635878,48.70222317,2.347440232,841.6467173,57.30423139,37.59414291,0.932567132,0,0,0,0,22.77225903,-1,1683.293435,-1,0,-1,0,-1,0,0,0,-1,0,-1
432009,431356,T2C11821953316814875_StopPoint:T2C3377704015496097*StopPoint:T2C3377704015496183*StopPoint:T2C3377704015496209*StopPoint:T2C3377704015495742*StopPoint:T2C3377704015495227*StopPoint:T2C3377704015496003*StopPoint:T2C3377704015496069*StopPoint:T2C3377704015495286*StopPoint:T2C3377704015496186*StopPoint:T2C3377704015495664*StopPoint:T2C3377704015495496*StopPoint:T2C3377704015496204*StopPoint:T2C3377704015495999*StopPoint:T2C3377704015495270*StopPoint:T2C3377704015495334*StopPoint:T2C3377704015495865*StopPoint:T2C3377704015495565*StopPoint:T2C3377704015496143*StopPoint:T2C3377704015495285*StopPoint:T2C3377704015496237*StopPoint:T2C3377704015496145*StopPoint:T2C3377704015495962*StopPoint:T2C3377704015495620*StopPoint:T2C3377704015496065*StopPoint:T2C3377704015496120*StopPoint:T2C3377704015495274*StopPoint:T2C3377704015496110*StopPoint:T2C3377704015495510*StopPoint:T2C3377704015496072*StopPoint:T2C3377704015495805*StopPoint:T2C3377704015495547*StopPoint:T2C3377704015496102*StopPoint:T2C3377704015496105*StopPoint:T2C3377704015495784*StopPoint:T2C3377704015495248*StopPoint:T2C3377704015495889*StopPoint:T2C3377704015495531,0,0,2,-1,2,-1,2,-1,2,-1,49.16647718,2.152639797,49.11935302,1.521416564,857.4301157,37.54058244,20.13117074,2.837365267,0,0,0,0,23.39800697,-1,1714.860231,-1,0,-1,0,-1,0,0,0,-1,0,-1
432009,431359,T2C11821953316814874_StopPoint:T2C3377704015495229*StopPoint:T2C3377704015495572*StopPoint:T2C3377704015495363*StopPoint:T2C3377704015495851*StopPoint:T2C3377704015496387*StopPoint:T2C3377704015495234*StopPoint:T2C3377704015495637*StopPoint:T2C3377704015495736*StopPoint:T2C3377704015495582*StopPoint:T2C3377704015495627*StopPoint:T2C3377704015495963*StopPoint:T2C3377704015495748*StopPoint:T2C3377704015495695*StopPoint:T2C3377704015496084*StopPoint:T2C3377704015495522*StopPoint:T2C3377704015495518*StopPoint:T2C3377704015495220*StopPoint:T2C3377704015495705*StopPoint:T2C3377704015495218*StopPoint:T2C3377704015495250*StopPoint:T2C3377704015495981*StopPoint:T2C3377704015495605*StopPoint:T2C3377704015495325*StopPoint:T2C3377704015495598*StopPoint:T2C3377704015495247*StopPoint:T2C3377704015495731*StopPoint:T2C3377704015495205*StopPoint:T2C3377704015495631*StopPoint:T2C3377704015496155*StopPoint:T2C3377704015497088*StopPoint:T2C3377704015496184*StopPoint:T2C3377704015495294*StopPoint:T2C3377704015496242*StopPoint:T2C3377704015496098*StopPoint:T2C3377704015495802*StopPoint:T2C3377704015496220*StopPoint:T2C3377704015495419*StopPoint:T2C3377704015495903*StopPoint:T2C3377704015495771*StopPoint:T2C3377704015496161*StopPoint:T2C3377704015495566,0,0,2,-1,2,-1,3,-1,3,-1,47.51972146,1.483878962,47.49655322,1.049005062,1077.264869,33.63931071,21.80507514,8.421996364,0,0,0,0,28.42576009,-1,2154.529737,-1,0,-1,0,-1,0,0,0,-1,0,-1
432009,431369,T2C11821953316814893_StopPoint:T2C3377704015495666*StopPoint:T2C3377704015495989*StopPoint:T2C3377704015495308*StopPoint:T2C3377704015495202*StopPoint:T2C3377704015496135*StopPoint:T2C3377704015495752*StopPoint:T2C3377704015495738*StopPoint:T2C3377704015495480*StopPoint:T2C3377704015496200*StopPoint:T2C3377704015495210*StopPoint:T2C3377704015496268*StopPoint:T2C3377704015495604*StopPoint:T2C3377704015495325*StopPoint:T2C3377704015495598*StopPoint:T2C3377704015495247*StopPoint:T2C3377704015495731*StopPoint:T2C3377704015495205*StopPoint:T2C3377704015495629*StopPoint:T2C3377704015495282*StopPoint:T2C3377704015495382*StopPoint:T2C3377704015495544*StopPoint:T2C3377704015495429*StopPoint:T2C3377704015495316*StopPoint:T2C3377704015495361*StopPoint:T2C3377704015495670*StopPoint:T2C3377704015496251*StopPoint:T2C3377704015495799*StopPoint:T2C3377704015496219*StopPoint:T2C3377837159481567*StopPoint:T2C3377837159481568,0,0,2,-1,2,-1,3,-1,3,-1,45.63187591,0.90219133,45.62295726,0.637883262,877.6941712,17.352959,51.51612052,9.552307565,0,0,0,0,22.24611315,-1,1755.388342,-1,0,-1,0,-1,0,0,0,-1,0,-1
432009,431375,T2C11821953316814893_StopPoint:T2C3377837159481569*StopPoint:T2C3377704015496244*StopPoint:T2C3377704015496218*StopPoint:T2C3377704015495798*StopPoint:T2C3377704015496252*StopPoint:T2C3377704015495671*StopPoint:T2C3377704015495362*StopPoint:T2C3377704015495317*StopPoint:T2C3377704015495430*StopPoint:T2C3377704015495545*StopPoint:T2C3377704015495383*StopPoint:T2C3377704015495283*StopPoint:T2C3377704015495632*StopPoint:T2C3377704015495206*StopPoint:T2C3377704015495733*StopPoint:T2C3377704015495249*StopPoint:T2C3377704015495599*StopPoint:T2C3377704015495326*StopPoint:T2C3377704015495327*StopPoint:T2C3377704015496267*StopPoint:T2C3377704015495211*StopPoint:T2C3377704015496201*StopPoint:T2C3377704015495481*StopPoint:T2C3377704015495741*StopPoint:T2C3377704015496379*StopPoint:T2C3377704015496136*StopPoint:T2C3377704015495309*StopPoint:T2C3377704015496133*StopPoint:T2C3377704015495990*StopPoint:T2C3377704015495666,0,0,2,-1,2,-1,2,-1,2,-1,47.61229106,0.777040167,47.60595035,0.549413784,817.5847207,13.34311275,49.25303822,2.937372027,0,0,0,0,21.62327645,-1,1635.169441,-1,0,-1,0,-1,0,0,0,-1,0,-1
