Name,Easting,Northing,Height,Population,Area
29227_001,157516.07,2387959.47,21.8,989,24274
56066_001,159520,2364690,19.3,2161,19754
29233_001,159858.06,2334682.66,31.9,2315,4501
29233_002,160299.01,2335270,27.45,4534,2822
29024_002,160690,2379348,23.5,2544,12845
22194_001,161137.79,2422576.34,30.5,3362,30736
29183_001,161724.61,2412132.55,31.5,550,9395
29067_001,161833.83,2407618.34,27.8,778,17831
29230_002,162109.59,2345463.97,31.3,869,14671
56105_001,162120.31,2350455.68,32,667,12801
29297_001,162546,2338266,36.5,2343,15565
29234_003,163267.94,2332149.19,31,768,7270
56078_001,163808.77,2325393.66,41.1,3839,24615
22343_002,165347.63,2435978.82,23.4,1649,31300
29234_001,165674.99,2334382.97,26,828,6282
56057_001,165685.82,2354752.8,41.8,1625,18595
22227_001,165851.73,2412613.37,26.95,337,5823
56063_001,166034.24,2328005.77,36.2,2378,7700
56100_001,166357.23,2361827.51,27.8,715,12552
22349_001,166674.64,2428033.84,26.1,896,10169
22343_006,167119.33,2436877.06,22,1327,37353
22343_005,167584.24,2435396.62,27,1237,2979
56162_003,168112.67,2319890.84,14.5,4456,1905
22226_001,168210,2426545,38.15,1570,11763
56185_001,169266.16,2325021.12,26.4,4183,6102
56131_003,169500.01,2348214.99,36.2,781,12268
22163_002,169504.7,2373273.48,30.1,832,20837
56162_002,169687.05,2318623.53,28.3,1649,13435
22198_001,169714.29,2435411.92,24.35,1087,3820
22131_001,170025,2407910,21.3,375,5746
22163_001,170065.99,2378621.81,30.3,855,19347
22353_002,170140.43,2439399.21,22,1997,9690
22207_002,170245.54,2420471.02,31.15,612,16179
22207_001,170350,2417245,30.3,1809,10904
56162_001,170379.01,2321236.28,56.5,3147,3885
22113_006,170554,2433038,17.2,662,3403
56121_004,170602.02,2320517.97,43.63,4525,825
22353_003,170626.52,2442025.51,19.5,955,13044
22052_001,170635.22,2390516.62,36.5,1327,36973
29071_001,170662.45,2342645.72,26.1,499,10249
56179_001,170701.54,2331780.7,31,2201,8777
56107_001,170918.87,2317819.59,25.5,6247,21816
56121_011,171040,2322830.95,44,7486,3122
56121_016,171600.02,2319869.01,37.2,3639,859
22228_002,172020,2411170,34.5,648,16886
56121_002,172269.01,2320211.04,31,4149,317
56121_001,172418.8,2321329.46,42,6048,862
22113_001,172607.42,2429959.14,38.7,5828,7409
56121_018,172816,2319386,33,2044,2623
56121_003,172972.99,2321612.02,38.9,5773,1143
22113_008,173118,2434911,23,843,5257
56121_015,173423.7,2320611.75,46.6,4653,2405
56098_001,173454.04,2322803.93,14.7,2656,664
22168_002,173514.87,2438606.68,36.24,4125,31186
22113_009,173805.96,2432505.39,17,2275,3065
56040_001,174025,2333393,50.5,1516,13780
22113_010,174207.66,2430515.62,17,3409,719
56036_001,174608.28,2326842.71,29.7,2486,8858
56098_007,174940,2324210,37.4,2729,3677
56098_002,175004.98,2321801.05,22,6871,2683
56193_002,175190,2316950,30.5,6573,18839
22228_001,175328,2409548,28.5,1164,11121
22113_011,175332.17,2430768.16,28.3,2203,4250
22211_001,175720,2427360,30.5,1698,10247
56210_002,176204.93,2353835.61,31.45,848,18594
56166_002,176913,2340408,39.8,2971,15883
56094_002,178617.71,2321662.09,34,1193,6939
22134_001,178799.17,2436487.71,24,2821,10034
22359_002,178889,2416268,27,531,14091
22030_001,179176,2427410,28.15,1618,14131
56083_002,180217,2326223,31.2,6891,4727
56089_001,180751,2346778,27.5,808,12498
22266_002,180857,2375109,28.9,2733,23344
56241_001,180861,2276259,26.5,700,21556
56090_002,181190,2329360,31.8,4374,7811
56169_001,181205.49,2315445.33,31.1,1849,22654
56083_001,181665.77,2325779.44,31,2179,5215
56094_001,181813.8,2321991.15,25,1581,4649
56163_003,181875.93,2359240.32,27.3,577,19667
56104_001,181888,2336634,18.4,265,4923
22245_001,181953.08,2420874.94,47,1390,15516
22379_001,182140,2438680,21.9,1960,24361
22135_003,182478.67,2411359.14,41,1278,13925
56169_005,182867.68,2312034.71,27.35,2695,18889
56130_001,182993.02,2318160.05,25.5,1629,5549
22042_002,183263.13,2433879.27,31.35,1830,17210
22249_001,184020,2401893,21.8,587,20976
56021_003,184438.5,2327502.34,27,881,5896
22004_002,184600,2418380,28,2972,18772
56152_003,185038,2274841,35,2065,45965
22220_001,185268.87,2375473.81,31.65,699,9452
22166_001,185475,2438997,34.5,2370,39210
56220_002,185768.39,2316989.94,31,1097,11297
56054_001,186899.24,2307575.37,22.5,1707,24172
56234_003,187726.01,2293337.99,13.8,1259,22379
56113_001,188068,2356199,32.1,1334,19445
22164_001,188081.71,2412662.29,30.4,1059,11357
56101_003,188310,2329890,36.8,2371,11843
56186_003,188977,2291252,23,1260,24340
56186_004,189211,2290263,22.85,5051,60384
56013_003,189520.43,2311756.2,26.1,1028,9999
22088_001,189763.09,2393986.78,34,230,19033
56026_001,190131,2344472,35.5,909,10841
56114_002,190280,2269080,32.5,568,65622
22247_001,190550,2430670,24,2163,19838
22221_001,190729.65,2436917.57,31.7,2015,11696
22013_001,191596.83,2399739.93,36.4,1232,18513
22321_001,191832.97,2382939.45,25,1435,27676
22347_001,192252.02,2436159.03,18,1898,9582
56096_001,192306,2319764,24.3,2194,9681
22223_001,192440,2410431.99,24.9,2073,9709
56034_001,192483.07,2301683.69,23,3356,16210
56119_001,192583,2315012,21.8,802,5651
56161_001,195075,2308825,34,1124,7098
22070_001,195147,2410831,27.6,6655,6652
56258_001,195570,2302130,31.8,1099,8634
56076_003,195773.53,2351757.1,26,453,12203
22256_001,196142.92,2425352.55,31,2231,16552
22290_001,196222,2371792,45,596,14420
22223_003,196327,2413739.41,36.25,718,7729
22161_001,196429.83,2410542.17,26.6,2367,3623
56023_001,196823,2313922,18.3,539,8617
56258_002,196900,2301280,7.9,1477,6288
22248_001,197123.97,2416728.21,31.85,1019,10433
56041_001,197356.94,2361806.54,38.8,1337,16482
56010_003,197570,2335535,39.5,1417,23638
56125_001,197705,2355790.01,21,689,8366
22189_001,197770,2400180,27.5,404,7782
22272_002,197841,2408955,19,1732,7689
22283_001,198480.65,2422121.57,35.8,1375,19653
56010_001,198796.32,2332849.59,30,3036,8472
56007_003,198883,2309930,17.5,1555,2756
56076_005,199210,2349750,27.3,301,8012
56041_002,199247.94,2358295.49,31,404,6305
22127_001,199824.85,2435566.06,20.3,2209,17930
56046_003,199900,2305025,31.4,1611,5873
56046_001,200250,2308000,38.5,1909,6922
56007_002,200261.09,2310493.92,22.9,6632,3344
56233_001,200439,2302076,34,1249,15752
56177_002,200460,2321750,34,3347,17778
22033_002,200890,2371810,38,466,11188
22047_001,201095,2381260,32,1406,30022
56031_001,201151.27,2328881.9,31.7,1155,6178
56007_004,201250,2310410,15.3,1341,1497
56246_004,202042.13,2351470.44,26,1521,11849
56176_002,202461.2,2310095.01,26.1,1991,2508
56176_001,203396,2312385,23.65,1961,5878
56173_001,203468,2342474.95,29.8,1852,18068
22158_001,203622.05,2370419.02,36.65,592,5979
56178_002,204120.2,2354058.81,27.3,8993,14075
22304_001,204177.1,2408170.91,23.3,1001,14411
56146_001,204275.14,2361936.57,27,995,18795
22210_001,204577.33,2435919.43,29.5,3017,47271
22162_001,204900.35,2431375.12,26.5,5400,19919
56074_001,205350.01,2335295,34.3,922,17659
56175_001,206240,2317380,24.5,1090,14863
