did,oid,eid,sid,ent,CO2,NOx,VOC,PM
431720,381319,,0,1,180.1540874,1.756163054,0.178705372,0.008996881
431720,381366,,0,1,179.3532409,1.408434177,0.112397707,0.037072904
431720,381383,,0,1,164.0149811,1.355072538,0.12449301,0.027886996
431720,381389,,0,1,288.2397094,2.740793306,0.279879905,0.023695411
431720,381395,,0,1,372.282328,2.838811768,0.220327189,0.083308879
431720,381439,,0,1,46.92302641,0.451987466,0.050500691,0.003394113
431720,381446,,0,1,338.5929964,3.3629346,0.341279953,0.008664695
431720,381473,,0,1,826.7532921,7.549901592,0.717119346,0.08610146
431720,381550,,0,1,487.1281613,4.74809413,0.483150866,0.024383626
431720,381669,,0,1,335.779939,2.810052274,0.243158019,0.053822094
431720,381812,,0,1,259.3418504,2.566267668,0.272362363,0.00790777
431720,381822,,0,1,135.1042965,1.010916298,0.073417149,0.031931573
431720,381823,,0,1,11.34541965,0.092058168,0.010885271,0.001943298
431720,381875,,0,1,393.1487877,3.341360017,0.281244291,0.052955139
431720,381888,,0,1,171.9629968,1.003577818,0.063496353,0.068254219
431720,381921,,0,1,421.4473573,3.422333419,0.279894137,0.070556069
431720,381946,,0,1,6.563394039,0.066691562,0.02080505,1.56E-06
431720,381962,,0,1,75.75764941,0.503774581,0.031591865,0.022767294
431720,381963,,0,1,44.46109259,0.367449136,0.040867557,0.010424604
431720,381984,,0,1,39.81004294,0.395953086,0.048308555,0.002615378
431720,382005,,0,1,249.8210825,2.466983329,0.254986809,0.00730354
431720,382021,,0,1,79.9401412,0.791415182,0.080256617,0.002330876
431720,382027,,0,1,211.8663055,1.75157593,0.141610983,0.03649357
431720,382230,,0,1,217.2758953,2.110706283,0.213107186,0.010901523
431720,382234,,0,1,171.380929,1.354308427,0.107834558,0.032211778
431720,382253,,0,1,100.3721156,0.981892875,0.119028684,0.005610455
431720,382371,,0,1,80.32893625,0.779039172,0.079329382,0.004498911
431720,382467,,0,1,161.2205741,1.566428051,0.159114271,0.008484671
431720,382495,,0,1,84.86692279,0.828411975,0.10142829,0.005823853
431720,382505,,0,1,71.54706686,0.491620839,0.032785263,0.023009917
431720,382506,,0,1,17.34550468,0.119463556,0.007745639,0.005035024
431720,382507,,0,1,31.72403295,0.256685807,0.028859063,0.007824107
431720,382523,,0,1,121.8303147,1.17922647,0.120218774,0.031276223
431720,382527,,0,1,25.78042777,0.20353448,0.020332225,0.004658061
431720,382529,,0,1,410.0285304,2.837589695,0.184413316,0.115520721
431720,382545,,0,1,29.13878418,0.2827105,0.044546221,0.001815203
431720,382553,,0,1,32.14922833,0.31207183,0.046808434,0.002561935
431720,382560,,0,1,4.113290016,0.05053588,0.006274945,0
431720,382566,,0,1,48.65216325,0.479226359,0.060810463,0.002572487
431720,382573,,0,1,57.57035054,0.544827643,0.053629854,0.004093243
431720,382637,,0,1,135.7352864,1.071959332,0.11251973,0.031133621
431720,382647,,0,1,14.27305985,0.137820511,0.017803495,0.002854826
431720,382683,,0,1,93.52359977,0.913179269,0.092915431,0.004426061
431720,382693,,0,1,26.08028612,0.246227364,0.035421105,0.002613331
431720,382702,,0,1,297.6980167,2.12911787,0.142983863,0.073793007
431720,382745,,0,1,114.4170542,1.110856018,0.112739972,0.006081808
431720,382785,,0,1,164.0724087,1.667214264,0.185980452,0.000741441
431720,382794,,0,1,71.79302012,0.46750254,0.029221828,0.023658257
431720,382795,,0,1,20.02851216,0.138084976,0.01305367,0.00529684
431720,382862,,0,1,67.17558775,0.495301645,0.035768967,0.01701252
431720,382865,,0,1,68.26783686,0.580398357,0.049613304,0.009749714
431720,382913,,0,1,137.6978875,1.038470603,0.076206533,0.038225673
431720,382922,,0,1,86.91653279,0.846036534,0.086123022,0.004461089
431720,382928,,0,1,193.8907219,1.887311626,0.192120543,0.009951745
431720,382949,,0,1,13.37179646,0.130159592,0.013249699,0.00068633
431720,382952,,0,1,120.3480335,1.171447477,0.119247582,0.00617757
431720,382955,,0,1,60.18070385,0.585763518,0.05962483,0.003090974
431720,382973,,0,1,100.7474952,0.953403368,0.093850662,0.00716766
431720,382991,,0,1,118.1320601,1.200393797,0.121365329,0
431720,382997,,0,1,32.81450919,0.333443013,0.033712599,0
431720,383003,,0,1,275.0960792,2.144780452,0.166045168,0.057265028
431720,383012,,0,1,12.80094757,0.112770624,0.012257417,0.008803519
431720,383018,,0,1,131.8941653,1.337595404,0.13495561,3.01E-05
431720,383030,,0,1,85.42733702,0.840202787,0.082010013,0.001839238
431720,383039,,0,1,101.842071,0.905167631,0.078806797,0.009747381
431720,383051,,0,1,131.41361,1.334707376,0.134876135,0
431720,383060,,0,1,200.5765934,1.952391879,0.198745432,0.010294815
431720,383087,,0,1,87.14286779,0.834702937,0.085158848,0.00630784
431720,383093,,0,1,26.81320102,0.256831739,0.026202724,0.001940877
431720,383096,,0,1,348.571377,3.338811225,0.340635379,0.025231324
431720,383099,,0,1,214.5916621,2.05516483,0.209634725,0.01555572
431720,383108,,0,1,435.7142329,4.173514072,0.425794223,0.031539162
431720,383111,,0,1,129.8714906,0.822388815,0.055204418,0.045689087
431720,383120,,0,1,173.4506873,1.6919521,0.172154466,0.00851197
431720,383123,,0,1,46.73036168,0.454660739,0.046278841,0.002449171
431720,383126,,0,1,293.5960835,2.8615736,0.291197442,0.014719832
431720,383132,,0,1,206.8387047,2.016462775,0.205190658,0.010306379
431720,383138,,0,1,120.0812387,1.171351418,0.11918386,0.0058929
431720,383147,,0,1,516.8973227,4.705635452,0.444261073,0.054889163
431720,383150,,0,1,250.8225744,2.354939909,0.231417623,0.019053109
431720,383156,,0,1,354.7903392,3.453137159,0.350897036,0.018183466
431720,383162,,0,1,247.342239,2.406954264,0.253264083,0.023143353
431720,383168,,0,1,250.903182,2.297340386,0.217349789,0.023671066
431720,383174,,0,1,236.5913318,2.293706522,0.232079575,0.012773786
431720,383180,,0,1,283.4431919,2.284279634,0.189355944,0.058874025
431720,383358,,0,1,220.8703281,2.196863237,0.217448341,0.003108937
431720,383364,,0,1,329.0277819,2.376374128,0.166510948,0.081238901
431720,383370,,0,1,65.6649482,0.666610301,0.080230957,0.001495054
431720,383388,,0,1,87.2863441,0.878041657,0.087943651,0.000446099
431720,383391,,0,1,145.6283119,1.329092441,0.119842219,0.011388804
431720,383400,,0,1,115.1692977,1.038133161,0.092223926,0.010030633
431720,383406,,0,1,44.5944932,0.306096057,0.026164573,0.014860506
431720,383415,,0,1,163.9062782,1.57965011,0.151344597,0.006236596
431720,383649,,0,1,107.2527044,1.027326361,0.104810881,0.007763476
431720,383658,,0,1,93.84615046,0.898910784,0.091709527,0.006793051
431720,383661,,0,1,40.21973311,0.385247183,0.039304074,0.002911296
431720,383667,,0,1,26.8131945,0.256831697,0.026202723,0.001940876
431720,383673,,0,1,60.32968766,0.577871332,0.058956127,0.004366968
431720,383679,,0,1,60.32939046,0.577869408,0.058956069,0.004366891
431720,383685,,0,1,13.40663339,0.128416042,0.013101365,0.000970453
431720,383691,,0,1,40.21992342,0.385248337,0.039304105,0.002911356
431720,383697,,0,1,33.51653083,0.321039853,0.03275341,0.002426106
431720,383703,,0,1,73.73629165,0.706287226,0.07205749,0.005337408
431720,383760,,0,1,170.8635366,1.347629501,0.106420269,0.035026888
431720,383763,,0,1,69.34583199,0.63091303,0.060290703,0.00743134
431720,383769,,0,1,150.2920573,1.429284014,0.144537468,0.011618687
431720,383778,,0,1,80.43952109,0.770494721,0.078608159,0.005822606
