did,oid,eid,sid,ent,alightingCount,alightingCount_D,boardingCount,boardingCount_D,waitingTime,waitingTime_D,totalWaitingTime,totalWaitingTime_D
432282,388672,StopPoint:T2C3377704015496273 StopPoint:T2C3377704015496087,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388673,StopPoint:T2C3377704015495543,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388741,StopPoint:T2C3377704015495246,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388742,StopPoint:T2C3377704015495783,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388743,StopPoint:T2C3377704015496101,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388744,StopPoint:T2C3377704015495546,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388752,StopPoint:T2C3377704015495961,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388754,StopPoint:T2C3377704015496236,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388755,StopPoint:T2C3377704015495284 StopPoint:T2C3377704015495285,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388758,StopPoint:T2C3377704015495901,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388759,StopPoint:T2C3377704015496188 StopPoint:T2C3377704015496189,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388761,StopPoint:T2C3377704015496232 StopPoint:T2C3377704015496233,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388762,StopPoint:T2C3377704015496224,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388765,StopPoint:T2C3377704015496163,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
432282,388766,StopPoint:T2C3377704015495945,0,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0
