did,oid,sid,ent,ptline,from_stop,to_stop,count,count_D,ttime,ttime_D
194518,194518,0,1,182122,176357,176358,0,0,-1.0,-1.0
194518,194518,0,1,182122,176587,176233,0,0,-1.0,-1.0
194518,194518,0,1,182122,181826,181831,0,0,-1.0,-1.0
194518,194518,0,1,182122,181828,181826,0,0,-1.0,-1.0
194518,194518,0,1,182122,181830,181828,0,0,-1.0,-1.0
194518,194518,0,1,182122,181831,181832,0,0,-1.0,-1.0
194518,194518,0,1,182122,181832,174784,0,0,-1.0,-1.0
194518,194518,0,1,182124,0,177934,0,0,-1.0,-1.0
194518,194518,0,1,182124,174892,174893,0,0,-1.0,-1.0
194518,194518,0,1,182124,174893,174894,0,0,-1.0,-1.0
194518,194518,0,1,182124,174894,181825,0,0,-1.0,-1.0
194518,194518,0,1,182124,174948,174949,0,0,-1.0,-1.0
194518,194518,0,1,182124,174949,176438,0,0,-1.0,-1.0
194518,194518,0,1,182124,176423,176424,0,0,-1.0,-1.0
194518,194518,0,1,182124,176424,176425,0,0,-1.0,-1.0
194518,194518,0,1,182124,176425,176426,0,0,-1.0,-1.0
194518,194518,0,1,182124,176426,176427,0,0,-1.0,-1.0
194518,194518,0,1,182124,176427,176428,0,0,-1.0,-1.0
194518,194518,0,1,182124,176428,176429,0,0,-1.0,-1.0
194518,194518,0,1,182124,176429,176430,0,0,-1.0,-1.0
194518,194518,0,1,182124,176430,176431,0,0,-1.0,-1.0
194518,194518,0,1,182124,176431,176433,0,0,-1.0,-1.0
194518,194518,0,1,182124,176433,176434,0,0,-1.0,-1.0
194518,194518,0,1,182124,176434,176435,0,0,-1.0,-1.0
194518,194518,0,1,182124,176435,176436,0,0,-1.0,-1.0
194518,194518,0,1,182124,176436,176437,0,0,-1.0,-1.0
194518,194518,0,1,182124,176437,174948,0,0,-1.0,-1.0
194518,194518,0,1,182124,176438,174892,0,0,-1.0,-1.0
194518,194518,0,1,182124,177934,176423,0,0,-1.0,-1.0
194518,194518,0,1,182124,181825,181827,0,0,-1.0,-1.0
194518,194518,0,1,182124,181827,181829,0,0,-1.0,-1.0
194518,194518,0,1,194493,0,177934,0,0,-1.0,-1.0
194518,194518,0,1,194493,174892,174893,0,0,-1.0,-1.0
194518,194518,0,1,194493,174893,174894,0,0,-1.0,-1.0
194518,194518,0,1,194493,174894,181825,0,0,-1.0,-1.0
194518,194518,0,1,194493,174948,174949,0,0,-1.0,-1.0
194518,194518,0,1,194493,174949,176438,0,0,-1.0,-1.0
194518,194518,0,1,194493,176423,176424,0,0,-1.0,-1.0
194518,194518,0,1,194493,176424,176425,0,0,-1.0,-1.0
194518,194518,0,1,194493,176425,176426,0,0,-1.0,-1.0
194518,194518,0,1,194493,176426,176427,0,0,-1.0,-1.0
194518,194518,0,1,194493,176427,176428,0,0,-1.0,-1.0
194518,194518,0,1,194493,176428,176429,0,0,-1.0,-1.0
194518,194518,0,1,194493,176429,176430,0,0,-1.0,-1.0
194518,194518,0,1,194493,176430,176431,0,0,-1.0,-1.0
